fighter_id,name,win,lose,draw,nc,height,weight,reach,stance,dob,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,last_updated
67,Oskar Piechota,11,1,1,0,"6' 0""",185 lbs.,"76""",Southpaw,"Jan 24, 1990",3.58,57%,2.83,58%,1.12,50%,25%,2.8,2018-11-21 19:39:11.967712
68,Jamie Pickett,7,2,0,0,"6' 2""",185 lbs.,"80""",Southpaw,"Aug 29, 1988",1.02,41%,2.64,45%,6.10,40%,0%,0.0,2018-11-21 19:39:15.247964
69,Brad Pickett,26,14,0,0,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 24, 1978",3.02,31%,4.63,55%,2.47,44%,58%,0.4,2018-11-21 19:39:19.051698
70,Vinc Pichel,11,2,0,0,"5' 10""",155 lbs.,"72""",Orthodox,"Nov 23, 1982",3.12,42%,2.67,54%,4.25,62%,20%,0.2,2018-11-21 19:39:22.520833
71,Adam Piccolotti,9,0,0,0,"5' 11""",155 lbs.,N/A,,"Oct 23, 1988",4.61,50%,2.83,71%,2.96,60%,100%,3.0,2018-11-21 19:39:24.961049
72,Nick Pica,5,1,0,0,"5' 10""",185 lbs.,N/A,,N/A,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:39:29.155536
73,Kyler Phillips,4,0,0,0,"5' 8""",135 lbs.,N/A,Orthodox,"Jun 12, 1995",18.26,56%,2.61,50%,0.00,0%,100%,0.0,2018-11-21 19:39:31.758988
74,John Phillips,21,7,0,1,"5' 11""",185 lbs.,"75""",Southpaw,"Jun 09, 1985",0.00,0%,2.77,21%,0.00,0%,0%,0.0,2018-11-21 19:39:34.829933
75,Elizabeth Phillips,5,4,0,0,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 20, 1986",2.60,33%,3.07,58%,0.75,25%,53%,0.2,2018-11-21 19:39:37.839062
76,Aaron Phillips,8,2,0,0,"5' 9""",135 lbs.,"70""",Southpaw,"Aug 05, 1989",1.87,59%,3.33,40%,0.00,0%,35%,0.5,2018-11-21 19:39:41.620503
77,Dave Phillips,7,5,0,0,"6' 0""",185 lbs.,N/A,Orthodox,"Jan 12, 1980",0.00,0%,2.00,25%,0.00,0%,0%,10.0,2018-11-21 19:39:44.196147
78,Wayne Phillips,5,4,0,0,N/A,185 lbs.,N/A,,"Jun 17, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:39:47.905857
79,Costas Philippou,13,5,0,1,"5' 11""",185 lbs.,"73""",Orthodox,"Nov 29, 1979",2.19,35%,2.73,54%,0.40,42%,65%,0.3,2018-11-21 19:39:51.241252
80,Nam Phan,18,14,0,0,"5' 6""",135 lbs.,"70""",Orthodox,"Mar 13, 1983",4.52,37%,6.55,59%,0.18,18%,60%,0.2,2018-11-21 19:39:55.460846
81,Cody Pfister,12,6,1,0,"5' 10""",155 lbs.,"73""",Orthodox,"Jul 12, 1990",1.41,25%,2.80,51%,2.82,30%,0%,0.0,2018-11-21 19:39:59.440325
82,Dino Pezao,1,2,0,0,N/A,205 lbs.,N/A,Orthodox,N/A,0.66,30%,3.28,31%,0.00,0%,0%,0.0,2018-11-21 19:40:03.742224
83,Forrest Petz,24,9,0,0,"5' 9""",170 lbs.,"71""",Orthodox,"Sep 22, 1975",2.27,29%,2.20,57%,1.30,100%,66%,0.0,2018-11-21 19:40:08.290874
84,Sergio Pettis,17,4,0,0,"5' 6""",125 lbs.,"69""",Orthodox,"Aug 18, 1993",3.60,37%,2.56,65%,0.91,39%,68%,0.4,2018-11-21 19:40:11.850743
85,Anthony Pettis,21,8,0,0,"5' 10""",155 lbs.,"72""",Orthodox,"Jan 27, 1987",2.85,45%,3.16,54%,0.76,54%,58%,1.3,2018-11-21 19:40:15.918693
86,Peter Petties,5,3,0,1,"5' 11""",145 lbs.,"72""",Southpaw,"Dec 20, 1990",2.61,29%,8.24,48%,0.00,0%,0%,0.0,2018-11-21 19:40:18.519689
87,Seth Petruzelli,14,6,0,0,"6' 0""",205 lbs.,"76""",Orthodox,"Dec 03, 1979",2.17,41%,2.08,55%,0.46,50%,47%,2.3,2018-11-21 19:40:21.118055
88,Steven Peterson,17,6,0,0,"5' 10""",145 lbs.,"70""",Orthodox,"May 29, 1990",5.09,34%,5.51,57%,1.67,17%,100%,0.3,2018-11-21 19:40:25.296838
89,Cory Peterson,2,1,0,0,"6' 11""",400 lbs.,N/A,Orthodox,N/A,2.17,60%,6.51,40%,0.00,0%,0%,0.0,2018-11-21 19:40:28.572729
90,Tommy Petersen,2,3,0,0,N/A,155 lbs.,N/A,,N/A,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:40:31.65878
91,Tony Petarra,2,4,1,0,"5' 11""",196 lbs.,N/A,Orthodox,N/A,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:40:35.072007
92,Leiticia Pestova,0,2,0,0,"5' 6""",135 lbs.,N/A,Orthodox,"Jan 15, 1984",0.00,0%,24.62,44%,0.00,0%,0%,0.0,2018-11-21 19:40:37.90972
93,Viktor Pesta,10,4,0,0,"6' 3""",240 lbs.,"77""",Orthodox,"Jul 15, 1990",1.58,36%,2.54,56%,3.29,28%,100%,0.0,2018-11-21 19:40:41.918252
94,Mike Perry,12,4,0,0,"5' 10""",170 lbs.,"71""",Orthodox,"Sep 15, 1991",4.02,45%,4.44,57%,0.83,55%,68%,0.0,2018-11-21 19:40:45.931923
95,Hernani Perpetuo,17,5,0,1,"6' 0""",170 lbs.,"74""",Orthodox,"May 24, 1985",2.73,29%,4.37,55%,0.00,0%,37%,0.5,2018-11-21 19:40:48.215591
96,Thiago Perpetuo,9,4,1,0,"5' 10""",170 lbs.,"71""",Orthodox,"Dec 14, 1987",5.39,69%,3.51,51%,2.82,50%,66%,0.0,2018-11-21 19:40:52.386293
97,Anthony Perosh,15,10,0,0,"6' 3""",205 lbs.,"75""",Orthodox,"Oct 05, 1972",2.27,43%,3.77,53%,2.03,22%,33%,1.1,2018-11-21 19:40:56.708769
98,Markus Perez,10,2,0,0,"6' 1""",185 lbs.,"73""",Orthodox,"Jun 22, 1988",2.55,47%,4.50,49%,1.31,42%,81%,1.3,2018-11-21 19:41:00.360395
99,Alex Perez,21,4,0,0,"5' 6""",125 lbs.,"65""",Orthodox,"Mar 21, 1992",5.25,46%,3.08,61%,3.68,43%,100%,2.1,2018-11-21 19:41:04.68547
100,Jose Perez,1,0,0,0,N/A,N/A,N/A,,N/A,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:41:08.332761
101,Frankie Perez,10,4,0,0,"5' 11""",155 lbs.,"73""",Orthodox,"May 11, 1989",1.64,41%,2.17,54%,1.75,41%,50%,0.3,2018-11-21 19:41:10.423191
102,Alejandro Perez,22,6,1,0,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989",3.71,35%,2.88,65%,0.46,16%,63%,0.1,2018-11-21 19:41:14.388879
103,Erik Perez,17,6,0,0,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1989",3.16,40%,2.09,66%,3.16,55%,69%,0.2,2018-11-21 19:41:18.255828
104,Philip Perez,7,5,1,2,"5' 5""",155 lbs.,N/A,Southpaw,N/A,1.36,100%,0.68,66%,10.23,100%,0%,10.2,2018-11-21 19:41:21.693472
105,Rolando Perez,6,5,2,0,"5' 8""",135 lbs.,N/A,Orthodox,N/A,4.23,36%,4.83,63%,0.00,0%,100%,0.0,2018-11-21 19:41:26.875083
106,Viviane Pereira,13,2,0,0,"5' 1""",115 lbs.,"63""",Orthodox,"Aug 28, 1993",2.70,30%,4.48,58%,0.25,100%,28%,0.2,2018-11-21 19:41:31.037251
107,Robert Peralta,18,6,0,1,"5' 8""",145 lbs.,"71""",Orthodox,"Mar 14, 1986",3.76,44%,2.97,53%,0.59,66%,65%,0.0,2018-11-21 19:41:34.750624
108,Ray Perales,13,22,0,0,"5' 10""",170 lbs.,N/A,Orthodox,N/A,0.18,25%,2.39,32%,0.00,0%,33%,0.0,2018-11-21 19:41:38.778086
109,Godofredo Pepey,14,6,0,0,"5' 7""",145 lbs.,"73""",Orthodox,"Jul 02, 1987",2.32,38%,3.23,47%,0.37,7%,35%,1.5,2018-11-21 19:41:41.945621
110,Jerron Peoples,4,3,0,0,"6' 0""",170 lbs.,N/A,,"May 04, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:41:45.978907
111,Raquel Pennington,9,8,0,0,"5' 7""",135 lbs.,"67""",Orthodox,"Sep 05, 1988",3.42,47%,3.31,62%,1.16,28%,64%,0.9,2018-11-21 19:41:49.413516
112,Justin Pennington,2,2,0,0,"5' 4""",N/A,N/A,,N/A,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:41:52.024514
113,Nick Penner,12,3,0,0,"6' 4""",205 lbs.,"77""",Southpaw,"Mar 26, 1980",1.25,30%,4.60,38%,0.00,0%,40%,0.0,2018-11-21 19:41:55.366323
114,Jessica Penne,12,6,0,0,"5' 5""",115 lbs.,"67""",,"Jan 30, 1983",2.46,33%,4.73,48%,1.58,25%,20%,0.6,2018-11-21 19:41:59.120398
115,BJ Penn,16,12,2,0,"5' 9""",145 lbs.,"70""",Orthodox,"Dec 13, 1978",2.71,49%,3.12,56%,1.24,55%,75%,0.5,2018-11-21 19:42:04.043102
116,Cathal Pendred,17,5,1,0,"6' 1""",170 lbs.,"75""",Orthodox,"Sep 02, 1987",2.49,44%,3.01,55%,2.46,23%,83%,0.4,2018-11-21 19:42:07.305733
117,Drew Pendleton,4,0,0,0,N/A,145 lbs.,N/A,,"Dec 08, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:42:09.558492
118,Sherman Pendergarst,11,18,0,1,"6' 1""",235 lbs.,N/A,Orthodox,"Aug 01, 1967",1.23,36%,3.08,16%,4.62,100%,0%,0.0,2018-11-21 19:42:11.610904
119,Luis Pena,5,1,0,0,"6' 3""",155 lbs.,"76""",Southpaw,"Jul 05, 1993",1.67,28%,3.13,46%,1.62,20%,40%,0.8,2018-11-21 19:42:14.964136
120,Julianna Pena,9,3,0,0,"5' 6""",135 lbs.,"69""",,"Aug 19, 1989",2.95,52%,1.20,44%,2.79,52%,22%,1.2,2018-11-21 19:42:18.772891
121,Yan Pellerin,9,13,0,0,"5' 11""",205 lbs.,N/A,Orthodox,N/A,0.59,25%,0.89,66%,4.43,100%,0%,0.0,2018-11-21 19:42:21.506852
122,Kurt Pellegrino,16,6,0,0,"5' 8""",155 lbs.,"70""",Orthodox,"May 07, 1979",2.45,43%,1.94,63%,2.90,54%,69%,0.8,2018-11-21 19:42:26.02271
123,Filip Pejic,10,2,1,0,"5' 8""",135 lbs.,"70""",Orthodox,"Jul 21, 1992",0.00,0%,0.88,33%,0.00,0%,0%,0.0,2018-11-21 19:42:28.445901
124,Willie Peeters,9,10,1,0,"5' 9""",220 lbs.,N/A,Orthodox,"Oct 26, 1965",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:42:32.827652
125,Tyson Pedro,7,2,0,0,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 17, 1991",2.63,60%,2.46,48%,1.00,28%,57%,1.5,2018-11-21 19:42:35.84762
126,Matt Pedro,3,1,0,0,N/A,N/A,N/A,,N/A,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:42:39.611177
127,Carlo Pedersoli,11,2,0,0,"5' 11""",170 lbs.,"75""",Southpaw,"Jun 08, 1993",4.41,37%,4.15,60%,2.88,75%,0%,0.0,2018-11-21 19:42:43.438286
128,Andre Pederneiras,1,1,2,0,"5' 8""",155 lbs.,N/A,Orthodox,"Mar 22, 1967",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:42:48.121583
129,Ross Pearson,22,15,0,1,"5' 8""",155 lbs.,"69""",Orthodox,"Sep 26, 1984",3.67,40%,4.04,62%,0.75,36%,75%,0.0,2018-11-21 19:42:52.205293
130,Joe Pearson,38,17,1,0,"5' 10""",145 lbs.,N/A,Orthodox,"Mar 28, 1978",0.59,18%,3.51,33%,0.00,0%,0%,4.4,2018-11-21 19:42:55.990571
131,Roland Payne,0,1,0,0,"5' 9""",205 lbs.,N/A,Orthodox,N/A,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:42:57.987867
132,Sarah Payant,1,4,0,0,"5' 4""",115 lbs.,N/A,,N/A,0.29,16%,2.06,30%,0.00,0%,0%,0.0,2018-11-21 19:43:01.732214
133,Estevan Payan,14,6,0,1,"5' 10""",145 lbs.,"72""",Orthodox,"Mar 14, 1982",4.25,42%,3.58,57%,0.36,100%,60%,0.4,2018-11-21 19:43:05.793967
134,Pawel Pawlak,11,2,0,0,"6' 0""",170 lbs.,"73""",Orthodox,"Feb 08, 1989",1.67,33%,2.22,53%,1.00,37%,70%,0.0,2018-11-21 19:43:10.150111
135,Sergei Pavlovich,12,0,0,0,"6' 3""",257 lbs.,N/A,Southpaw,"May 13, 1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:43:13.44018
136,Julio Paulino,17,4,0,0,"6' 0""",170 lbs.,N/A,Orthodox,"Dec 04, 1975",0.97,27%,1.87,48%,0.00,0%,37%,0.5,2018-11-21 19:43:15.971725
137,Justin Patterson,9,3,0,0,"5' 10""",170 lbs.,N/A,,"Dec 07, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:43:20.243542
138,Michael Patt,12,4,0,0,"6' 0""",205 lbs.,N/A,Orthodox,N/A,1.65,28%,5.53,55%,0.00,0%,0%,0.0,2018-11-21 19:43:23.58889
139,Alan Patrick,15,2,0,0,"5' 11""",155 lbs.,"74""",Southpaw,"Jul 19, 1983",1.88,43%,2.39,45%,3.92,40%,66%,0.4,2018-11-21 19:43:27.605612
140,Claude Patrick,14,2,0,0,"5' 11""",170 lbs.,"75""",Orthodox,"Jun 14, 1980",1.80,55%,0.89,69%,2.32,53%,84%,1.7,2018-11-21 19:43:31.441354
141,Russell Patrick,6,4,0,0,"5' 9""",145 lbs.,N/A,,N/A,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:43:35.350865
142,Jorge Patino,25,13,1,1,"5' 8""",170 lbs.,N/A,Orthodox,"Aug 05, 1973",1.33,30%,3.14,53%,0.54,25%,50%,0.0,2018-11-21 19:43:39.522297
143,Onassis Parungao,2,1,0,0,"5' 11""",200 lbs.,N/A,,N/A,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:43:42.152756
144,Jordan Parsons,11,2,0,0,"5' 9""",145 lbs.,N/A,,"Aug 26, 1990",3.29,40%,2.37,60%,1.54,21%,50%,1.0,2018-11-21 19:43:44.844924
145,Willie Parks,4,1,0,0,"5' 10""",185 lbs.,N/A,,"Nov 04, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:43:48.569815
